antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"written_by, ~release_year, ~written_by",release_year,0.013984692431257677,0.056505716715487105,0.013984692431257677,1.0,17.69732441471572,0.013194477362383814,inf,0.9568758984187828
"Sport played, ~has_genre, ~starred_actors",starred_actors,0.0031182084475101578,0.22630634035717662,0.0031182084475101578,1.0,4.418789144050104,0.002412538105283301,inf,0.7761137440758294
"starred_actors, ~release_year",release_year,0.0023622791269016347,0.056505716715487105,0.0023622791269016347,1.0,17.69732441471572,0.0022287968517540227,inf,0.9457283576434931
"has_genre, written_by, ~release_year",release_year,0.004630067088727204,0.056505716715487105,0.004630067088727204,1.0,17.69732441471572,0.0043684418294378845,inf,0.9478830453768748
"has_genre, written_by, ~has_genre, ~release_year",release_year,0.0024567702919777,0.056505716715487105,0.0024567702919777,1.0,17.69732441471572,0.0023179487258241835,inf,0.9458179407028512
~Position(s),Position(s),0.008504204856845885,0.012756307285268827,0.008504204856845885,1.0,78.39259259259259,0.008395722606475083,inf,0.9957114266653959
~release_year,release_year,0.02418973825947274,0.056505716715487105,0.02418973825947274,1.0,17.69732441471572,0.022822879761961193,inf,0.9668829282463445
"has_genre, written_by, ~release_year, ~written_by",release_year,0.003590664272890485,0.056505716715487105,0.003590664272890485,1.0,17.69732441471572,0.0033877712146661147,inf,0.9468942626837363
"~release_year, ~written_by",release_year,0.01804781252952849,0.056505716715487105,0.01804781252952849,1.0,17.69732441471572,0.017028007947400736,inf,0.9608352578906852
"written_by, ~directed_by, ~has_genre",has_genre,0.0020788056316734384,0.2388736653122933,0.0020788056316734384,1.0,4.186313291139241,0.001582233710963767,inf,0.7627118644067796
"~Next in series, ~has_genre",has_genre,0.0020788056316734384,0.2388736653122933,0.0020788056316734384,1.0,4.186313291139241,0.001582233710963767,inf,0.7627118644067796
"has_genre, ~has_genre, ~release_year, ~written_by",release_year,0.0020788056316734384,0.056505716715487105,0.0020788056316734384,1.0,17.69732441471572,0.0019613412295435397,inf,0.9454597102547105
"has_genre, ~has_genre, ~release_year",release_year,0.0037796466030426156,0.056505716715487105,0.0037796466030426156,1.0,17.69732441471572,0.0035660749628064364,inf,0.947073887887698
"~has_genre, ~release_year",release_year,0.003874137768118681,0.056505716715487105,0.003874137768118681,1.0,17.69732441471572,0.0036552268368765972,inf,0.9471637260481883
"Produced by, written_by, ~starred_actors",starred_actors,0.0020788056316734384,0.22630634035717662,0.0020788056316734384,1.0,4.418789144050104,0.0016083587368555337,inf,0.7753053688097717
"written_by, ~release_year",release_year,0.016346971558159312,0.056505716715487105,0.016346971558159312,1.0,17.69732441471572,0.015423274214137837,inf,0.9591738712776177
Winner,~Winner,0.002267787961825569,0.0030237172824340926,0.002267787961825569,1.0,330.71875,0.002260930812172501,inf,0.9992423524955014
"~directed_by, ~starred_actors, ~written_by",starred_actors,0.002834734952281962,0.22630634035717662,0.002834734952281962,1.0,4.418789144050104,0.0021932164593484555,inf,0.7758931109637071
"has_genre, ~release_year, ~written_by",release_year,0.005197014079183596,0.056505716715487105,0.005197014079183596,1.0,17.69732441471572,0.00490335307385885,inf,0.9484232522796352
"written_by, ~directed_by, ~starred_actors, ~written_by",starred_actors,0.0024567702919777,0.22630634035717662,0.0024567702919777,1.0,4.418789144050104,0.0019007875981019943,inf,0.775599128540305
"~has_genre, ~release_year, ~written_by",release_year,0.002173296796749504,0.056505716715487105,0.002173296796749504,1.0,17.69732441471572,0.002050493103613701,inf,0.9455492424242424
"has_genre, ~release_year",release_year,0.007748275536237362,0.056505716715487105,0.007748275536237362,1.0,17.69732441471572,0.0073104536737531945,inf,0.9508618226835539
~Division,~Team,0.002267787961825569,0.02475668524992913,0.002267787961825569,1.0,40.39312977099237,0.0022116450490410754,inf,0.9774599867411687
"written_by, ~has_genre, ~release_year",release_year,0.0025512614570537655,0.056505716715487105,0.0025512614570537655,1.0,17.69732441471572,0.0024071005998943444,inf,0.9459075407351268
"written_by, ~has_genre, ~written_by",has_genre,0.03666257204951337,0.2388736653122933,0.03609562505905698,0.9845360824742269,4.121576487668015,0.027337902093813683,49.21950297647188,0.7861984496044411
"~directed_by, ~has_genre",has_genre,0.005952943399792119,0.2388736653122933,0.005858452234716054,0.9841269841269842,4.11986387381957,0.0044364508254110865,47.95095908532569,0.7618085367349443
~is-a,is-a,0.03156004913540584,0.06179722195974676,0.030993102144949446,0.9820359281437125,15.891263344869893,0.029042778783468257,52.22662131090734,0.967610165417685
"~has_genre, ~written_by",has_genre,0.051686667296607765,0.2388736653122933,0.05074175564584711,0.9817184643510055,4.109781055469419,0.03839517198092937,41.63361050741763,0.7979198535180241
"~directed_by, ~starred_actors",starred_actors,0.01455163942171407,0.22630634035717662,0.014268165926485873,0.9805194805194805,4.332708836049128,0.010975037662760541,39.716274528331475,0.7805558748243405
"release_year, ~has_genre",has_genre,0.008693187186998016,0.2388736653122933,0.008504204856845885,0.9782608695652174,4.095306480462301,0.006427631370241806,35.01181139563453,0.7624461178364524
"~is-a, ~starred_actors",is-a,0.004157611263346877,0.06179722195974676,0.0040631200982708116,0.9772727272727273,15.814185432304699,0.0038061912722074215,41.28092223377118,0.9406766009748951
"starred_actors, ~directed_by, ~has_genre",has_genre,0.0040631200982708116,0.2388736653122933,0.003968628933194746,0.9767441860465117,4.088957168089491,0.0029980565427167524,32.72843239157149,0.7585208276859131
"~has_genre, ~release_year",has_genre,0.003874137768118681,0.2388736653122933,0.0037796466030426156,0.9756097560975611,4.084208088916332,0.002854217114447319,31.20617972219609,0.7580914437488143
"release_year, ~has_genre, ~release_year",has_genre,0.003874137768118681,0.2388736653122933,0.0037796466030426156,0.9756097560975611,4.084208088916332,0.002854217114447319,31.20617972219609,0.7580914437488143
"~has_genre, ~release_year","has_genre, release_year",0.003874137768118681,0.01615798922800718,0.0037796466030426156,0.9756097560975611,60.37940379403795,0.003717048326717538,40.337522441651856,0.9872628533485107
"starred_actors, ~Spouse (or domestic partner)",~starred_actors,0.003590664272890485,0.1973920438439006,0.0034961731078144193,0.9736842105263157,4.932742939205361,0.002787404548231293,30.49910233393168,0.8001460920379839
"written_by, ~has_genre",has_genre,0.05102522914107531,0.2388736653122933,0.0494188793347822,0.9685185185185186,4.054521946788561,0.0372302958264539,24.176954160668362,0.7938691542238356
"~is-a, ~written_by",is-a,0.005763961069639989,0.06179722195974676,0.005574978739487858,0.9672131147540983,15.65140121321502,0.005218781957899976,28.615184730227693,0.9415349276254111
"starred_actors, ~is-a",is-a,0.002834734952281962,0.06179722195974676,0.0027402437872058962,0.9666666666666666,15.64255861365953,0.0025650650421626757,28.146083341207508,0.9387328983096815
"written_by, ~is-a",is-a,0.005669469904563924,0.06179722195974676,0.0054804875744117925,0.9666666666666666,15.64255861365953,0.0051301300843253515,28.146083341207508,0.9414091300828727
"directed_by, ~directed_by, ~starred_actors",starred_actors,0.002645752622129831,0.22630634035717662,0.0025512614570537655,0.9642857142857142,4.260975246048314,0.0019525108636491593,21.663422469999,0.7673421408144288
"release_year, ~has_genre, ~written_by",has_genre,0.005102522914107531,0.2388736653122933,0.0049135405839554,0.9629629629629629,4.031264650726676,0.00369468223312257,20.550411036568054,0.7557953491090541
