antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"[['~starred_actors'], ['~is-a']]",[['is-a']],0.00122838514598885,0.04715109137295663,0.00122838514598885,1.0,21.208416833667336,0.001170465445729147,inf,0.9540208136234627
"[['~Position(s)'], ['~Team coached']]",[['Position(s)']],0.0015118586412170463,0.010677501653595389,0.0015118586412170463,1.0,93.65486725663717,0.0014957157680754488,inf,0.9908204788492476
"[['release_year', '~release_year'], ['written_by']]",[['~written_by']],0.0023622791269016347,0.17405272607011243,0.0023622791269016347,1.0,5.745385450597177,0.0019511180051258801,inf,0.8279030119340784
"[['~has_genre'], ['has_genre'], ['~written_by', 'has_genre'], ['~written_by']]",[['written_by']],0.0013228763110649155,0.20608523103089862,0.0013228763110649155,1.0,4.852361302154974,0.0010502510408737994,inf,0.7949664112025735
"[['has_genre'], ['~starred_actors', 'has_genre'], ['~starred_actors', 'starred_actors']]",[['starred_actors']],0.0010394028158367192,0.15411509023906264,0.0010394028158367192,1.0,6.4886572654813,0.0008792151570793074,inf,0.8467650397275823
"[['~has_genre'], ['~starred_actors'], ['~starred_actors', 'has_genre']]",[['starred_actors']],0.0010394028158367192,0.15411509023906264,0.0010394028158367192,1.0,6.4886572654813,0.0008792151570793074,inf,0.8467650397275823
"[['~directed_by'], ['~has_genre']]",[['has_genre']],0.0011338939809127846,0.13767362751582726,0.0011338939809127846,1.0,7.263555250514757,0.0009777866833421594,inf,0.8633052691325325
"[['~has_genre'], ['~written_by', 'has_genre'], ['~written_by']]",[['written_by']],0.002173296796749504,0.20608523103089862,0.002173296796749504,1.0,4.852361302154974,0.0017254124242926704,inf,0.7956439393939394
"[['written_by'], ['~is-a']]",[['is-a']],0.0017953321364452424,0.04715109137295663,0.0017953321364452424,1.0,21.208416833667336,0.0017106802668349075,inf,0.9545626656569481
"[['has_genre'], ['~starred_actors'], ['~starred_actors', 'has_genre']]",[['starred_actors']],0.001417367476140981,0.15411509023906264,0.001417367476140981,1.0,6.4886572654813,0.0011989297596536011,inf,0.8470855412566237
