model_path,test_type,path_res,entity_res
MultiRe_epoch-2,seen,10.89	14.35	15.93	20.12	26.68	1387,15.36	35.98	49.6	67.05	82.34	1387
MultiRe_epoch-2,unseen,41.03	69.82	71.75	72.07	72.18	931,46.08	76.48	78.52	78.84	78.95	931
MultiRe_epoch-4,seen,10.17	16.01	19.32	25.31	33.89	1387,15.14	37.13	50.11	68.35	83.27	1387
MultiRe_epoch-4,unseen,55.1	80.77	81.95	82.06	82.28	931,60.15	87.0	88.18	88.51	88.72	931
MultiRe_epoch-6,seen,14.42	25.02	29.78	36.7	44.12	1387,17.95	40.45	51.77	69.21	83.99	1387
MultiRe_epoch-6,unseen,40.82	59.29	60.69	60.69	60.79	931,52.74	72.61	74.11	74.33	74.44	931
MultiRe_epoch-8,seen,18.46	34.39	43.04	55.23	66.4	1387,20.26	41.67	52.7	68.71	83.99	1387
MultiRe_epoch-8,unseen,41.46	61.55	63.27	63.27	63.37	931,54.03	74.87	76.69	76.69	76.8	931
MultiRe_epoch-10,seen,17.38	33.17	41.89	53.5	62.94	1387,19.25	40.74	52.42	68.57	83.2	1387
MultiRe_epoch-10,unseen,42.96	60.47	61.44	61.55	61.65	931,52.63	71.32	72.29	72.4	72.5	931
MultiRe_epoch-12,seen,18.24	33.24	40.95	51.77	62.36	1387,19.61	39.58	50.18	66.19	80.89	1387
MultiRe_epoch-12,unseen,45.01	65.31	67.35	67.67	67.99	931,54.67	76.37	78.41	78.73	79.05	931
MultiRe_epoch-14,seen,19.11	34.25	41.46	54.79	65.68	1387,20.69	40.45	50.04	66.26	80.46	1387
MultiRe_epoch-14,unseen,44.15	63.27	63.8	63.91	63.91	931,54.35	74.44	74.97	75.3	75.3	931
MultiRe_epoch-16,seen,19.32	35.18	43.55	54.79	67.77	1387,20.4	39.08	49.89	65.03	81.98	1387
MultiRe_epoch-16,unseen,50.38	70.03	71.75	71.97	71.97	931,56.61	77.01	78.73	78.95	78.95	931
MultiRe_epoch-18,seen,18.53	34.25	42.47	54.0	64.1	1387,19.32	39.65	51.05	65.97	80.25	1387
MultiRe_epoch-18,unseen,50.38	78.95	80.77	80.99	81.1	931,55.1	84.85	86.79	87.0	87.11	931
MultiRe_epoch-20,seen,18.24	33.96	42.25	54.36	64.82	1387,20.12	41.02	51.84	67.56	82.34	1387
MultiRe_epoch-20,unseen,45.54	65.52	66.92	67.02	67.13	931,53.28	74.33	75.73	75.83	75.94	931
