model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,13.55	19.25	21.99	26.89	33.67	1387,17.45	37.35	50.76	69.29	83.56	1387,0.17447728911319393,0.11788802700567405,0.11107696653623242,0.17447728911319393,0.17447728911319393
MultiRe_epoch-2,unseen,40.49	51.56	51.88	52.09	52.2	931,50.91	68.42	69.71	70.25	70.35	931,0.5091299677765844,0.20411714794163163,0.2222295927849607,0.5091299677765844,0.5091299677765844
MultiRe_epoch-4,seen,19.32	34.82	43.48	55.73	68.64	1387,20.04	37.49	48.09	63.45	79.96	1387,0.20043258832011535,0.13802386328495989,0.12509178017710929,0.20043258832011535,0.20043258832011535
MultiRe_epoch-4,unseen,44.9	64.34	65.63	66.06	66.17	931,54.14	74.76	76.05	76.48	76.58	931,0.5413533834586466,0.29740182289657235,0.32469198479728917,0.5413533834586466,0.5413533834586466
MultiRe_epoch-6,seen,20.12	37.35	45.78	58.4	68.28	1387,21.7	41.67	52.2	68.2	81.47	1387,0.21701514059120403,0.15872243509319228,0.1380752644816614,0.21701514059120403,0.21701514059120403
MultiRe_epoch-6,unseen,49.95	69.07	70.03	70.35	70.46	931,55.96	76.15	77.12	77.44	77.55	931,0.5596133190118152,0.3021710277301352,0.31570575122864564,0.5596133190118152,0.5596133190118152
MultiRe_epoch-8,seen,19.03	35.33	43.98	55.3	65.18	1387,20.04	41.46	53.5	69.07	82.91	1387,0.20043258832011535,0.15873122978386134,0.14370005308919337,0.20043258832011535,0.20043258832011535
MultiRe_epoch-8,unseen,46.62	68.21	69.28	69.39	69.6	931,54.35	76.58	77.66	77.77	77.98	931,0.5435016111707841,0.34109798941556974,0.3713518370388853,0.5435016111707841,0.5435016111707841
MultiRe_epoch-10,seen,18.24	34.17	44.34	57.89	69.21	1387,19.11	38.0	50.61	66.62	80.89	1387,0.1910598413842826,0.14271477444168207,0.1306945331531692,0.1910598413842826,0.1910598413842826
MultiRe_epoch-10,unseen,45.33	62.84	63.69	63.69	63.8	931,52.2	70.68	71.54	71.54	71.64	931,0.5220193340494093,0.24574059790002448,0.2715429424486473,0.5220193340494093,0.5220193340494093
MultiRe_epoch-12,seen,19.32	35.62	46.14	58.83	70.51	1387,20.76	40.01	51.98	66.62	80.97	1387,0.2076423936553713,0.14493105739858986,0.13197460826872523,0.2076423936553713,0.2076423936553713
MultiRe_epoch-12,unseen,36.41	52.42	52.95	53.28	53.38	931,49.41	65.95	66.49	66.81	66.92	931,0.4940923737916219,0.188454038833869,0.2064905987226803,0.4940923737916219,0.4940923737916219
MultiRe_epoch-14,seen,20.33	37.49	47.58	58.69	69.79	1387,21.49	41.82	54.22	67.48	81.9	1387,0.21485219899062724,0.14172802749877847,0.13480356121439888,0.21485219899062724,0.21485219899062724
MultiRe_epoch-14,unseen,45.97	67.13	68.31	68.64	68.74	931,54.24	76.05	77.23	77.66	77.77	931,0.5424274973147154,0.2745974485478214,0.2963484237896379,0.5424274973147154,0.5424274973147154
MultiRe_epoch-16,seen,19.68	37.64	46.29	58.4	69.72	1387,20.69	41.24	51.62	66.4	80.46	1387,0.2069214131218457,0.1513176790917874,0.13687486438463584,0.2069214131218457,0.20692141312184573
MultiRe_epoch-16,unseen,47.58	66.27	67.45	67.56	67.56	931,55.32	74.97	76.15	76.26	76.26	931,0.5531686358754028,0.2752849459718552,0.29845033449970354,0.5531686358754028,0.5531686358754028
MultiRe_epoch-18,seen,19.32	36.27	45.64	57.32	68.42	1387,20.12	40.95	52.27	66.33	82.05	1387,0.20115356885364094,0.14566099840609645,0.12923142313769792,0.20115356885364094,0.20115356885364094
MultiRe_epoch-18,unseen,45.76	64.88	66.06	66.17	66.27	931,54.46	74.33	75.51	75.73	75.83	931,0.5445757250268528,0.27219809674462203,0.2958067646753324,0.5445757250268528,0.5445757250268528
MultiRe_epoch-20,seen,18.39	36.12	45.13	56.38	66.83	1387,20.12	42.03	53.57	67.77	81.11	1387,0.20115356885364094,0.1446705943063559,0.1330684672598967,0.20115356885364094,0.20115356885364094
MultiRe_epoch-20,unseen,45.76	65.2	66.17	66.49	66.6	931,53.38	73.79	74.76	75.08	75.19	931,0.5338345864661654,0.283072368696536,0.3100990615317416,0.5338345864661654,0.5338345864661654
