model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,16.65	26.6	32.23	41.53	50.61	1387,19.03	37.64	49.39	67.99	83.13	1387,0.19033886085075702,0.13200943311461488,0.12009250742738387,0.19033886085075702,0.19033886085075702
MultiRe_epoch-2,unseen,55.1	79.27	80.45	80.67	80.67	931,61.33	86.57	87.86	88.18	88.18	931,0.6133190118152524,0.3641154018207338,0.3739910726613506,0.6133190118152524,0.6133190118152524
MultiRe_epoch-4,seen,18.46	34.1	43.19	54.51	65.61	1387,19.83	39.94	50.68	65.9	80.53	1387,0.19826964671953856,0.14331283381544477,0.13194382575532834,0.19826964671953856,0.19826964671953856
MultiRe_epoch-4,unseen,53.71	82.28	84.85	85.28	85.39	931,59.18	88.4	90.98	91.41	91.51	931,0.5918367346938775,0.36276984955717984,0.36760618153192215,0.5918367346938775,0.5918367346938775
MultiRe_epoch-6,seen,20.48	35.62	43.91	57.03	66.83	1387,22.21	41.24	52.56	68.85	82.55	1387,0.2220620043258832,0.15290583427126964,0.14092609208089066,0.2220620043258832,0.2220620043258832
MultiRe_epoch-6,unseen,46.94	67.35	68.74	68.85	69.07	931,55.53	76.48	77.87	77.98	78.2	931,0.5553168635875403,0.3444215169472766,0.36565444435292155,0.5553168635875403,0.5553168635875403
MultiRe_epoch-8,seen,20.26	36.77	45.28	57.46	67.41	1387,21.34	41.53	52.27	68.06	82.55	1387,0.21341023792357605,0.15635967333580064,0.14098204060988848,0.21341023792357605,0.21341023792357605
MultiRe_epoch-8,unseen,47.69	69.28	70.68	71.0	71.11	931,54.99	77.66	79.16	79.48	79.59	931,0.5499462943071965,0.29128733073254487,0.31518768455680773,0.5499462943071965,0.5499462943071965
MultiRe_epoch-10,seen,20.12	37.92	47.87	60.63	71.88	1387,20.62	40.81	51.84	66.62	80.97	1387,0.2062004325883201,0.14694308613141263,0.13221762771966133,0.2062004325883201,0.2062004325883201
MultiRe_epoch-10,unseen,44.15	60.79	61.76	62.08	62.3	931,56.07	73.68	74.65	74.97	75.19	931,0.560687432867884,0.2893962940250462,0.31846968109811974,0.560687432867884,0.560687432867884
MultiRe_epoch-12,seen,20.62	38.14	46.29	58.26	67.12	1387,21.85	43.62	54.07	68.57	80.1	1387,0.21845710165825521,0.16465574024862564,0.14710954501647686,0.21845710165825521,0.21845710165825521
MultiRe_epoch-12,unseen,52.2	73.68	75.83	76.05	76.15	931,57.25	79.48	81.63	81.85	81.95	931,0.5725026852846402,0.2993570903518449,0.31414119410284125,0.5725026852846402,0.5725026852846402
MultiRe_epoch-14,seen,20.04	35.11	43.98	54.22	62.29	1387,21.41	42.32	54.43	68.78	81.11	1387,0.21413121845710165,0.15499854941379249,0.13960114406579882,0.21413121845710165,0.21413121845710162
MultiRe_epoch-14,unseen,42.64	57.57	58.86	59.08	59.18	931,53.49	69.28	70.57	70.78	70.89	931,0.5349087003222341,0.2520323731841442,0.2830232289881653,0.5349087003222341,0.5349087003222341
MultiRe_epoch-16,seen,20.04	38.07	47.3	58.11	68.13	1387,21.41	42.68	53.14	66.91	79.24	1387,0.21413121845710165,0.15576617789568387,0.1441752650803315,0.21413121845710165,0.21413121845710162
MultiRe_epoch-16,unseen,46.08	63.59	64.66	64.98	65.09	931,54.46	72.82	73.9	74.22	74.33	931,0.5445757250268528,0.2976785714285714,0.32335378903482165,0.5445757250268528,0.5445757250268528
MultiRe_epoch-18,seen,20.33	37.71	45.42	57.75	68.49	1387,21.12	41.31	50.4	65.54	79.81	1387,0.21124729632299927,0.14985937014049464,0.1359822512625027,0.21124729632299927,0.21124729632299924
MultiRe_epoch-18,unseen,48.34	70.25	71.32	71.64	71.86	931,56.39	78.95	80.02	80.34	80.56	931,0.5639097744360902,0.30750921158411465,0.33991739048384517,0.5639097744360902,0.5639097744360902
MultiRe_epoch-20,seen,20.12	37.92	45.28	58.26	68.57	1387,21.12	42.75	51.77	68.13	81.69	1387,0.21124729632299927,0.15759560104798198,0.14093310507063248,0.21124729632299927,0.21124729632299924
MultiRe_epoch-20,unseen,42.75	60.69	61.98	62.08	62.19	931,51.77	70.35	71.64	71.75	71.86	931,0.5177228786251342,0.26903321447884876,0.2990665483898833,0.5177228786251342,0.5177228786251342
