model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,15.21	28.19	34.75	46.29	60.06	1387,17.23	35.47	45.13	60.42	78.44	1387,0.17231434751261715,0.11913719846790713,0.1123606934040005,0.17231434751261715,0.17231434751261715
MultiRe_epoch-2,unseen,44.34	63.82	64.9	65.26	65.35	1114,55.83	76.39	77.47	77.83	77.92	1114,0.5583482944344704,0.27049862820440074,0.2907608110122511,0.5583482944344704,0.5583482944344704
MultiRe_epoch-4,seen,15.72	29.34	36.27	48.09	59.84	1387,17.16	37.27	47.08	63.16	78.73	1387,0.17159336697909156,0.12548431799742416,0.11633320784581562,0.17159336697909156,0.17159336697909156
MultiRe_epoch-4,unseen,54.94	84.56	86.8	87.16	87.16	1114,57.99	90.04	92.28	92.64	92.64	1114,0.5798922800718133,0.3414243961737234,0.3241160504846993,0.5798922800718133,0.5798922800718133
MultiRe_epoch-6,seen,19.03	35.9	45.78	57.68	68.64	1387,20.76	41.24	53.14	67.56	82.41	1387,0.2076423936553713,0.14455687957342578,0.1302323473783478,0.2076423936553713,0.2076423936553713
MultiRe_epoch-6,unseen,57.63	81.69	83.66	83.93	84.11	1114,60.77	86.8	88.78	89.05	89.23	1114,0.6077199281867145,0.3091379670914017,0.31554994991571955,0.6077199281867145,0.6077199281867145
MultiRe_epoch-8,seen,19.97	37.35	47.73	58.83	69.57	1387,21.56	42.39	54.87	68.42	82.26	1387,0.21557317952415284,0.16386859066859066,0.1451425178404731,0.21557317952415284,0.21557317952415284
MultiRe_epoch-8,unseen,55.12	78.37	79.8	79.98	80.16	1114,60.23	85.28	86.71	86.89	87.07	1114,0.6023339317773788,0.3462842668059555,0.3595045144080008,0.6023339317773788,0.6023339317773788
MultiRe_epoch-10,seen,20.19	38.36	47.58	59.41	69.43	1387,22.06	43.48	54.87	68.93	82.26	1387,0.220620043258832,0.14755319537353884,0.14208937249538695,0.220620043258832,0.220620043258832
MultiRe_epoch-10,unseen,51.44	72.17	72.98	73.25	73.34	1114,59.61	82.05	82.85	83.12	83.21	1114,0.5960502692998204,0.30950497593192233,0.33362545752518363,0.5960502692998204,0.5960502692998204
