model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,unseen,24.13	35.43	37.1	38.63	38.91	717,27.34	39.33	41.56	43.93	44.49	717,0.2733612273361227,0.02167946686578778,0.0230339926390032,0.2733612273361227,0.2733612273361227
MultiRe_epoch-4,unseen,18.55	30.4	32.08	33.05	33.61	717,24.69	37.38	39.33	40.45	41.14	717,0.24686192468619247,0.025462182134316197,0.024537198205447686,0.24686192468619247,0.24686192468619247
MultiRe_epoch-6,unseen,15.2	20.5	21.48	23.29	24.13	717,23.57	29.57	30.68	32.64	33.61	717,0.23570432357043236,0.018706691669699814,0.01886429873506526,0.23570432357043236,0.23570432357043233
MultiRe_epoch-8,unseen,20.36	28.87	29.71	30.4	30.68	717,25.66	34.73	35.56	36.26	36.96	717,0.25662482566248257,0.017957562663445018,0.01821478952491415,0.25662482566248257,0.25662482566248257
MultiRe_epoch-10,unseen,12.97	19.67	20.36	21.2	21.34	717,24.69	31.94	32.64	33.75	34.17	717,0.24686192468619247,0.016446142634804786,0.015621686933501414,0.24686192468619247,0.24686192468619247
MultiRe_epoch-12,unseen,15.48	22.73	23.15	23.85	24.41	717,20.64	28.73	29.15	29.85	30.82	717,0.20641562064156208,0.017261748628491225,0.015382114631035417,0.20641562064156208,0.20641562064156208
MultiRe_epoch-14,unseen,12.27	16.18	16.46	17.02	17.43	717,20.22	24.83	25.38	26.22	27.06	717,0.20223152022315202,0.01512101653706734,0.014916959483625104,0.20223152022315202,0.202231520223152
MultiRe_epoch-16,unseen,16.18	22.45	22.73	23.71	24.27	717,21.76	29.01	29.29	30.4	31.1	717,0.2175732217573222,0.012275112776651421,0.011622640732124727,0.2175732217573222,0.2175732217573222
MultiRe_epoch-18,unseen,17.02	24.97	25.38	25.52	25.66	717,22.32	30.96	31.66	31.8	32.36	717,0.22315202231520223,0.01033250465341167,0.0108650128161645,0.22315202231520223,0.2231520223152022
MultiRe_epoch-20,unseen,14.5	19.94	20.22	20.78	20.92	717,20.36	26.36	26.78	27.62	27.89	717,0.20362622036262204,0.01149232987606604,0.011211637513562609,0.20362622036262204,0.20362622036262204
