model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,9.74	14.37	15.89	18.38	24.81	1447,12.37	28.82	40.08	54.25	69.52	1447,0.12370421561852107,0.07079128791037723,0.06688447765505559,0.12370421561852107,0.12370421561852107
MultiRe_epoch-2,unseen,6.32	10.41	12.06	16.3	26.06	1393,7.97	25.34	37.33	54.34	71.86	1393,0.07968413496051686,0.043348846782769776,0.04073260031322405,0.07968413496051686,0.07968413496051686
MultiRe_epoch-4,seen,12.37	19.49	24.6	31.93	41.12	1447,13.82	26.26	34.42	46.58	60.26	1447,0.138217000691085,0.0846790434235368,0.07752439435258818,0.138217000691085,0.138217000691085
MultiRe_epoch-4,unseen,8.18	14.36	19.24	26.92	42.57	1393,11.99	28.57	40.2	56.21	78.46	1393,0.1198851399856425,0.0746301451357631,0.07014534085969001,0.1198851399856425,0.1198851399856425
MultiRe_epoch-6,seen,15.76	27.64	34.42	44.99	54.6	1447,16.93	31.58	40.43	53.84	66.76	1447,0.16931582584657912,0.10075263883403418,0.09584789157589965,0.16931582584657912,0.16931582584657912
MultiRe_epoch-6,unseen,7.9	14.79	19.53	27.35	37.69	1393,10.05	23.62	32.59	44.8	58.22	1393,0.10050251256281408,0.06269161226318484,0.057041200287168026,0.10050251256281408,0.10050251256281408
MultiRe_epoch-8,seen,13.82	26.74	32.76	40.5	50.93	1447,14.65	30.41	38.42	49.34	63.58	1447,0.1465100207325501,0.0904666581935265,0.08065071790605599,0.1465100207325501,0.1465100207325501
MultiRe_epoch-8,unseen,10.91	21.97	28.21	38.26	52.76	1393,12.28	28.0	37.9	52.69	72.07	1393,0.12275664034458005,0.07666884270844666,0.06992279997230491,0.12275664034458005,0.12275664034458005
MultiRe_epoch-10,seen,16.17	28.54	35.94	43.54	54.8	1447,16.59	31.58	40.5	51.07	65.24	1447,0.165860400829302,0.10172499011466983,0.0938763243478546,0.165860400829302,0.165860400829302
MultiRe_epoch-10,unseen,9.33	18.52	23.4	31.95	44.72	1393,10.34	26.2	35.53	50.68	68.2	1393,0.10337401292175162,0.06759970993473532,0.06041027500418363,0.10337401292175162,0.1033740129217516
MultiRe_epoch-12,seen,16.59	30.34	38.15	46.37	54.87	1447,17.35	33.1	43.26	54.11	65.03	1447,0.1734623358673117,0.10908744536461928,0.10033337352710754,0.1734623358673117,0.1734623358673117
MultiRe_epoch-12,unseen,10.34	20.53	26.35	35.61	50.39	1393,12.06	29.36	39.55	54.56	75.09	1393,0.12060301507537688,0.07811814104399274,0.0729166993748789,0.12060301507537688,0.12060301507537688
MultiRe_epoch-14,seen,18.18	32.2	40.57	50.03	58.88	1447,18.87	35.87	45.96	57.98	69.59	1447,0.18866620594333103,0.11616332497911444,0.1059167513772777,0.18866620594333103,0.18866620594333103
MultiRe_epoch-14,unseen,9.83	20.32	25.13	35.61	51.97	1393,11.63	30.08	39.7	55.85	77.17	1393,0.11629576453697056,0.07956875607385812,0.07283234309550099,0.11629576453697056,0.11629576453697056
MultiRe_epoch-16,seen,16.86	32.55	40.7	49.97	58.67	1447,17.97	36.42	46.3	57.84	68.83	1447,0.1796821008984105,0.11838964106457464,0.10439679157571097,0.1796821008984105,0.17968210089841047
MultiRe_epoch-16,unseen,10.84	20.6	26.13	36.97	50.83	1393,12.35	28.64	38.12	54.27	73.37	1393,0.12347451543431442,0.08450915517114113,0.07512431804068323,0.12347451543431442,0.12347451543431442
MultiRe_epoch-18,seen,18.38	33.1	41.88	51.35	61.16	1447,18.87	36.42	46.65	58.53	70.84	1447,0.18866620594333103,0.1202462153307349,0.10939550033949734,0.18866620594333103,0.18866620594333103
MultiRe_epoch-18,unseen,11.27	21.32	25.92	37.04	52.33	1393,12.99	30.73	38.91	55.85	76.67	1393,0.1299353912419239,0.0949685762629925,0.08464877141382235,0.1299353912419239,0.1299353912419239
MultiRe_epoch-20,seen,17.42	32.9	41.12	51.28	60.54	1447,18.04	36.77	46.72	58.88	70.49	1447,0.18037318590186593,0.11357472613008485,0.10448710329135484,0.18037318590186593,0.1803731859018659
MultiRe_epoch-20,unseen,11.06	21.9	27.14	38.05	54.06	1393,12.78	29.5	38.77	54.41	75.52	1393,0.12778176597272076,0.08556332556332555,0.08068358854455111,0.12778176597272076,0.12778176597272076
