model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,11.26	17.97	20.53	24.95	30.48	1447,13.27	33.17	46.44	64.2	77.19	1447,0.13351877607788595,0.0886401959622844,0.08074544668088937,0.13351877607788595,0.13351877607788595
MultiRe_epoch-2,unseen,9.34	16.45	19.9	26.22	36.35	1392,12.21	38.0	53.52	71.91	86.06	1392,0.12265512265512266,0.08249478499548764,0.07493341231591383,0.12265512265512266,0.12265512265512266
MultiRe_epoch-4,seen,11.68	20.39	24.95	33.79	42.92	1447,12.65	25.43	32.07	44.92	57.43	1447,0.12726008344923506,0.08456023725195862,0.07578443817295256,0.12726008344923506,0.12726008344923506
MultiRe_epoch-4,unseen,10.34	19.32	25.29	34.2	46.48	1392,13.07	39.01	52.95	70.04	86.28	1392,0.13131313131313133,0.0943041166832459,0.08851286513951744,0.13131313131313133,0.13131313131313133
MultiRe_epoch-6,seen,15.55	26.47	32.07	41.67	50.86	1447,17.62	35.45	45.34	60.95	75.12	1447,0.17732962447844228,0.12686218730372334,0.11570207864153512,0.17732962447844228,0.17732962447844228
MultiRe_epoch-6,unseen,7.83	15.01	20.19	27.37	37.64	1392,9.34	33.12	46.7	62.43	76.87	1392,0.09379509379509379,0.07282260288900468,0.06487177532011762,0.09379509379509379,0.09379509379509379
MultiRe_epoch-8,seen,16.24	29.03	34.42	43.61	51.28	1447,17.07	34.35	42.29	54.87	65.65	1447,0.1717663421418637,0.11339182699848098,0.10517481298544312,0.1717663421418637,0.1717663421418637
MultiRe_epoch-8,unseen,10.27	18.53	24.21	32.76	45.76	1392,12.0	34.41	48.06	66.02	84.12	1392,0.1204906204906205,0.09351001078217254,0.08514226481683702,0.1204906204906205,0.1204906204906205
MultiRe_epoch-10,seen,17.42	32.62	40.08	50.17	59.92	1447,18.31	37.66	47.89	60.95	73.6	1447,0.18428372739916551,0.13289727001911875,0.12119572819772274,0.18428372739916551,0.18428372739916554
MultiRe_epoch-10,unseen,9.34	18.32	25.5	34.48	47.13	1392,10.42	34.91	51.01	67.96	85.42	1392,0.10461760461760462,0.07800054941895548,0.06797574483622149,0.10461760461760462,0.10461760461760462
MultiRe_epoch-12,seen,15.62	28.06	35.18	44.92	52.66	1447,16.66	32.96	42.85	55.49	66.55	1447,0.16759388038942977,0.11959616764739801,0.10655319981040566,0.16759388038942977,0.16759388038942977
MultiRe_epoch-12,unseen,9.12	19.04	25.0	33.48	44.76	1392,10.42	36.57	50.93	69.04	83.62	1392,0.10461760461760462,0.08579964127433237,0.07481668120184641,0.10461760461760462,0.10461760461760462
MultiRe_epoch-14,seen,17.97	32.0	41.33	52.32	62.13	1447,19.56	37.8	49.76	63.51	76.16	1447,0.19680111265646733,0.14242319618682028,0.1265955285534464,0.19680111265646733,0.19680111265646735
MultiRe_epoch-14,unseen,8.91	17.67	23.99	33.26	44.47	1392,11.06	35.27	50.65	69.32	83.76	1392,0.1111111111111111,0.08092483701615309,0.07424525393950746,0.1111111111111111,0.1111111111111111
MultiRe_epoch-16,seen,18.04	33.24	41.74	52.73	62.2	1447,19.42	38.84	49.76	63.37	75.81	1447,0.19541029207232266,0.14754494461458115,0.13121045494488862,0.19541029207232266,0.19541029207232266
MultiRe_epoch-16,unseen,8.76	17.1	24.07	32.47	43.46	1392,9.91	34.12	48.56	66.52	81.82	1392,0.09956709956709957,0.06772422691444464,0.06295559532965046,0.09956709956709957,0.09956709956709957
MultiRe_epoch-18,seen,17.35	32.27	40.7	51.21	59.92	1447,18.87	38.7	49.41	62.27	74.71	1447,0.1898470097357441,0.13480273553713185,0.12089610115224879,0.1898470097357441,0.1898470097357441
MultiRe_epoch-18,unseen,8.84	17.17	23.92	32.61	43.82	1392,10.34	35.34	49.35	66.81	82.18	1392,0.1038961038961039,0.07761896232571605,0.06887628249945771,0.1038961038961039,0.1038961038961039
MultiRe_epoch-20,seen,18.24	32.83	41.05	51.62	61.51	1447,19.42	38.77	49.14	62.34	75.12	1447,0.19541029207232266,0.139024084218605,0.13066995102033432,0.19541029207232266,0.19541029207232266
MultiRe_epoch-20,unseen,8.33	15.8	22.56	32.26	43.18	1392,9.84	33.41	47.13	65.37	80.32	1392,0.09884559884559885,0.07346865238190461,0.06846781101199086,0.09884559884559885,0.09884559884559885
