model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,14.44	26.74	34.9	45.68	54.87	1447,16.38	32.41	44.44	60.54	75.05	1447,0.16378714581893572,0.10546550193101918,0.093621258578942,0.16378714581893572,0.16378714581893572
MultiRe_epoch-2,unseen,12.28	23.64	31.32	41.38	49.64	1392,14.22	32.11	43.82	56.9	67.74	1392,0.14224137931034483,0.1012781757885797,0.09335483577580496,0.14224137931034483,0.14224137931034483
MultiRe_epoch-4,seen,15.76	30.06	37.87	48.51	58.26	1447,17.0	35.8	46.03	60.68	75.74	1447,0.17000691085003455,0.11051264703586333,0.1012374933552302,0.17000691085003455,0.17000691085003455
MultiRe_epoch-4,unseen,14.58	28.88	35.92	47.92	61.14	1392,16.74	42.24	53.59	70.4	86.35	1392,0.16738505747126436,0.13041340889403844,0.11782420920069758,0.16738505747126436,0.16738505747126436
MultiRe_epoch-6,seen,17.0	29.99	37.94	47.13	56.46	1447,18.38	36.42	47.82	61.92	76.3	1447,0.18382861091914304,0.1305638899813108,0.11709808310364085,0.18382861091914304,0.18382861091914304
MultiRe_epoch-6,unseen,13.07	24.43	31.11	40.23	50.79	1392,15.59	38.72	50.79	66.31	79.81	1392,0.15589080459770116,0.12418903847475275,0.11209542012334946,0.15589080459770116,0.15589080459770116
MultiRe_epoch-8,seen,18.24	32.83	41.95	52.66	63.72	1447,19.14	37.11	48.24	62.2	76.71	1447,0.19143054595715273,0.12400833953646812,0.11436639129785686,0.19143054595715273,0.19143054595715273
MultiRe_epoch-8,unseen,14.87	28.74	35.49	48.28	61.14	1392,16.31	41.88	53.02	70.19	85.78	1392,0.16307471264367815,0.12364036708548903,0.11542510883781743,0.16307471264367815,0.16307471264367815
MultiRe_epoch-10,seen,12.16	18.66	23.57	31.03	39.12	1447,13.48	24.74	32.2	44.23	55.29	1447,0.13476157567380787,0.08544083084545512,0.07805428962411011,0.13476157567380787,0.13476157567380787
MultiRe_epoch-10,unseen,10.56	19.4	25.07	33.19	42.82	1392,13.58	35.2	46.48	60.13	73.2	1392,0.13577586206896552,0.10403589466089466,0.09396465718929486,0.13577586206896552,0.13577586206896552
MultiRe_epoch-12,seen,8.22	15.83	20.73	27.57	33.17	1447,8.91	19.28	25.64	35.52	43.68	1447,0.08914996544574982,0.05664533923563268,0.051361850550537304,0.08914996544574982,0.08914996544574982
MultiRe_epoch-12,unseen,10.99	22.2	28.23	37.57	48.92	1392,13.29	38.43	49.07	62.14	76.08	1392,0.13290229885057472,0.10843243087559218,0.09342241319520875,0.13290229885057472,0.13290229885057472
MultiRe_epoch-14,seen,18.66	33.38	42.64	53.42	63.03	1447,19.42	37.87	48.65	62.2	74.29	1447,0.19419488597097442,0.12766809296786671,0.11479576917625892,0.19419488597097442,0.1941948859709744
MultiRe_epoch-14,unseen,14.58	28.81	35.85	47.77	61.35	1392,16.45	41.95	52.8	69.11	84.84	1392,0.16451149425287356,0.12922695225486489,0.11689926949147081,0.16451149425287356,0.16451149425287356
MultiRe_epoch-16,seen,17.69	32.62	41.47	52.11	60.95	1447,18.73	36.63	47.13	60.33	71.8	1447,0.18728403593642018,0.13108058608058606,0.11800479368255823,0.18728403593642018,0.18728403593642018
MultiRe_epoch-16,unseen,13.79	27.66	35.34	49.28	61.42	1392,15.16	39.22	51.94	69.47	84.12	1392,0.15158045977011494,0.1137098528731881,0.10408871508374799,0.15158045977011494,0.15158045977011494
MultiRe_epoch-18,seen,18.87	35.59	44.44	55.77	64.82	1447,19.63	39.25	49.97	63.58	75.05	1447,0.1962681409813407,0.13276096235933255,0.12087985287327888,0.1962681409813407,0.1962681409813407
MultiRe_epoch-18,unseen,14.37	28.74	37.14	49.71	62.07	1392,16.02	40.95	54.38	70.55	85.42	1392,0.16020114942528735,0.12462418437509568,0.11485221576987335,0.16020114942528735,0.16020114942528735
MultiRe_epoch-20,seen,16.24	31.17	38.91	49.27	56.39	1447,16.86	35.25	44.09	56.81	66.41	1447,0.1686247408431237,0.11122173803208285,0.1010984818434909,0.1686247408431237,0.1686247408431237
MultiRe_epoch-20,unseen,14.44	28.88	36.21	48.28	60.2	1392,16.02	40.88	52.44	68.68	82.83	1392,0.16020114942528735,0.12718089042071778,0.11549114333255348,0.16020114942528735,0.16020114942528735
