model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,8.59	19.39	25.55	34.49	45.57	1444,8.93	21.12	27.56	37.67	51.73	1444,0.08989547038327526,0.05453838482186945,0.0492469079533565,0.08989547038327526,0.08989547038327526
MultiRe_epoch-2,unseen,9.35	20.77	29.66	44.44	61.84	1305,9.66	24.44	34.02	50.19	70.27	1305,0.09692307692307692,0.06958602099712742,0.06667319318553785,0.09692307692307692,0.09692307692307692
MultiRe_epoch-4,seen,6.99	16.34	22.3	30.06	39.82	1444,8.03	17.87	24.31	32.96	45.91	1444,0.0808362369337979,0.040241598082234334,0.0393971197059445,0.0808362369337979,0.0808362369337979
MultiRe_epoch-4,unseen,7.51	15.86	21.92	32.8	48.05	1305,7.74	20.08	27.28	38.77	56.32	1305,0.07769230769230769,0.05382450305442498,0.05139009766638529,0.07769230769230769,0.07769230769230769
MultiRe_epoch-6,seen,8.73	17.24	22.71	32.62	44.18	1444,8.86	18.01	24.17	34.35	47.65	1444,0.089198606271777,0.05219715904262949,0.04495274935950895,0.089198606271777,0.08919860627177702
MultiRe_epoch-6,unseen,7.43	18.7	28.05	43.14	60.0	1305,7.82	22.45	32.72	48.89	67.43	1305,0.07846153846153846,0.0511116420266915,0.04489347208173395,0.07846153846153846,0.07846153846153846
MultiRe_epoch-8,seen,6.99	15.17	20.22	29.29	40.58	1444,7.06	15.51	20.71	30.89	44.6	1444,0.0710801393728223,0.041463635883598984,0.0378387303375067,0.0710801393728223,0.0710801393728223
MultiRe_epoch-8,unseen,8.89	19.31	26.05	38.47	54.79	1305,9.2	20.38	27.82	40.92	59.16	1305,0.09230769230769231,0.05599801869875307,0.05261765627508705,0.09230769230769231,0.09230769230769231
MultiRe_epoch-10,seen,10.32	18.91	24.72	32.27	42.94	1444,10.46	20.08	26.45	35.04	47.37	1444,0.10522648083623694,0.06292757112636377,0.05841578598087973,0.10522648083623694,0.10522648083623695
MultiRe_epoch-10,unseen,9.81	22.15	31.03	42.99	59.16	1305,10.27	25.82	35.4	48.2	66.21	1305,0.10307692307692308,0.07655508667788055,0.06961397093689875,0.10307692307692308,0.10307692307692307
