model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,8.45	19.6	25.07	34.49	46.61	1444,8.73	20.84	26.39	37.26	52.84	1444,0.08725761772853186,0.0543409045139149,0.05023702605162058,0.08725761772853186,0.08725761772853186
MultiRe_epoch-2,unseen,8.58	20.31	28.97	43.6	62.76	1305,9.12	23.98	33.41	49.81	71.57	1305,0.09118773946360154,0.07651012744528954,0.06892935363042989,0.09118773946360154,0.09118773946360154
MultiRe_epoch-4,seen,5.82	14.75	20.01	28.19	38.99	1444,6.09	15.37	21.05	30.26	43.84	1444,0.060941828254847646,0.03307593089715995,0.029674035631971876,0.060941828254847646,0.060941828254847646
MultiRe_epoch-4,unseen,7.74	15.79	22.38	32.26	48.51	1305,7.97	18.47	26.05	36.55	55.1	1305,0.07969348659003832,0.061548797076709696,0.060972894949156635,0.07969348659003832,0.07969348659003832
MultiRe_epoch-6,seen,7.96	16.55	21.95	30.75	42.52	1444,8.1	16.83	22.58	31.93	45.71	1444,0.08102493074792244,0.04883591317038416,0.043879474246500516,0.08102493074792244,0.08102493074792244
MultiRe_epoch-6,unseen,7.13	18.7	27.59	40.69	60.69	1305,7.66	21.3	30.88	44.9	66.97	1305,0.07662835249042145,0.05905013083321906,0.051886136719363485,0.07662835249042145,0.07662835249042145
MultiRe_epoch-8,seen,5.61	13.64	19.81	28.05	40.3	1444,5.61	13.85	20.36	29.43	43.42	1444,0.05609418282548476,0.03467582281613461,0.029403047722536952,0.05609418282548476,0.056094182825484756
MultiRe_epoch-8,unseen,8.58	18.47	25.29	37.01	54.79	1305,8.58	18.93	26.51	39.31	58.93	1305,0.08582375478927202,0.05899592233756822,0.05305638455557774,0.08582375478927202,0.08582375478927202
MultiRe_epoch-10,seen,8.8	17.66	22.92	30.96	42.24	1444,8.93	18.63	24.17	33.1	45.84	1444,0.08933518005540166,0.053996150541094357,0.05010568958390734,0.08933518005540166,0.08933518005540167
MultiRe_epoch-10,unseen,8.89	21.69	31.34	43.75	59.85	1305,9.27	24.29	34.71	48.05	65.9	1305,0.09272030651340996,0.07848110835243187,0.06600754500702438,0.09272030651340996,0.09272030651340997
MultiRe_epoch-12,seen,7.2	14.2	18.63	24.38	33.31	1444,7.34	14.61	19.32	25.55	37.05	1444,0.07340720221606649,0.040714617224684335,0.03780082250993906,0.07340720221606649,0.07340720221606649
MultiRe_epoch-12,unseen,7.28	15.79	22.07	31.19	46.59	1305,7.51	17.93	24.83	34.94	52.72	1305,0.07509578544061303,0.054167667515386375,0.048624864400213415,0.07509578544061303,0.07509578544061303
MultiRe_epoch-14,seen,7.55	15.1	18.98	25.42	35.25	1444,7.76	16.41	20.71	27.98	40.44	1444,0.07756232686980609,0.04527963875789963,0.04110129882777614,0.07756232686980609,0.07756232686980609
