model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,24.31	49.65	58.03	70.29	75.83	1444,25.28	52.63	62.95	78.88	87.05	1444,0.25277008310249305,0.08752736783338941,0.08354945033470478,0.25277008310249305,0.25277008310249305
MultiRe_epoch-2,unseen,27.28	52.87	64.29	75.86	80.77	1305,27.82	60.15	75.1	90.42	96.7	1305,0.27816091954022987,0.24766681765852017,0.25456500001542093,0.27816091954022987,0.27816091954022987
MultiRe_epoch-4,seen,31.86	56.16	67.38	78.39	81.86	1444,32.2	58.45	71.19	84.42	89.54	1444,0.3220221606648199,0.11372377901723409,0.11044075336933519,0.3220221606648199,0.3220221606648199
MultiRe_epoch-4,unseen,34.1	68.28	82.22	91.19	93.41	1305,35.25	70.57	85.29	95.1	97.7	1305,0.3524904214559387,0.26273136788942375,0.26411011326048556,0.3524904214559387,0.3524904214559387
MultiRe_epoch-6,seen,32.83	58.52	68.07	78.88	82.76	1444,33.24	61.08	71.88	85.04	90.03	1444,0.33240997229916897,0.11568710714410736,0.1122719215463438,0.33240997229916897,0.33240997229916897
MultiRe_epoch-6,unseen,39.62	73.18	84.21	92.95	94.02	1305,40.54	75.56	87.74	97.55	98.85	1305,0.4053639846743295,0.33473386467148886,0.3420594651576618,0.4053639846743295,0.4053639846743295
MultiRe_epoch-8,seen,34.76	59.35	68.91	78.81	82.06	1444,35.32	62.19	73.55	85.8	90.37	1444,0.35318559556786705,0.143675804489744,0.13830751890558726,0.35318559556786705,0.35318559556786705
MultiRe_epoch-8,unseen,40.54	74.33	84.29	93.26	94.41	1305,41.53	76.63	87.59	97.78	99.0	1305,0.4153256704980843,0.3226629921231613,0.33614790175809106,0.4153256704980843,0.4153256704980842
MultiRe_epoch-10,seen,33.86	59.76	69.11	80.61	83.8	1444,34.49	62.4	73.27	86.5	91.07	1444,0.3448753462603878,0.11027177823668528,0.10544338931259656,0.3448753462603878,0.3448753462603878
MultiRe_epoch-10,unseen,37.78	73.1	83.98	93.03	94.41	1305,38.77	75.33	87.13	97.55	99.08	1305,0.38773946360153255,0.3099062618153672,0.3238340832222061,0.38773946360153255,0.38773946360153255
MultiRe_epoch-12,seen,34.49	59.97	69.25	79.71	83.45	1444,34.9	62.6	73.41	86.01	91.07	1444,0.3490304709141274,0.1234038849722119,0.11623476944039143,0.3490304709141274,0.3490304709141274
MultiRe_epoch-12,unseen,39.16	74.18	84.21	93.03	94.33	1305,39.85	76.25	87.2	97.32	98.77	1305,0.39846743295019155,0.31590627092918844,0.3283761730985327,0.39846743295019155,0.39846743295019155
MultiRe_epoch-14,seen,34.21	60.73	69.39	79.29	83.17	1444,34.63	63.43	73.48	85.66	91.14	1444,0.3462603878116344,0.11767971840633974,0.10910414050428713,0.3462603878116344,0.3462603878116344
MultiRe_epoch-14,unseen,38.77	74.18	84.21	92.95	94.25	1305,39.69	76.48	87.36	97.32	98.77	1305,0.3969348659003831,0.31818624425820885,0.3310747759806346,0.3969348659003831,0.3969348659003831
MultiRe_epoch-16,seen,34.49	60.32	69.04	79.64	83.17	1444,34.9	63.02	73.06	86.22	91.2	1444,0.3490304709141274,0.11515108982665005,0.10837394463057938,0.3490304709141274,0.3490304709141274
MultiRe_epoch-16,unseen,38.47	74.41	83.83	92.95	94.25	1305,39.23	76.7	86.82	97.32	98.77	1305,0.39233716475095787,0.3100641438522209,0.3217107527761351,0.39233716475095787,0.39233716475095787
MultiRe_epoch-18,seen,34.56	59.97	68.91	79.64	83.17	1444,34.97	62.6	72.92	86.15	91.2	1444,0.3497229916897507,0.11518782077247192,0.10858590533555952,0.3497229916897507,0.3497229916897507
MultiRe_epoch-18,unseen,38.54	74.48	84.06	92.87	94.25	1305,39.46	76.78	87.13	97.32	98.85	1305,0.3946360153256705,0.31109993230361044,0.32239625032531516,0.3946360153256705,0.3946360153256705
MultiRe_epoch-20,seen,34.42	60.18	69.18	79.71	83.24	1444,34.83	62.81	73.27	86.29	91.34	1444,0.34833795013850416,0.11419010304721419,0.10767968869542935,0.34833795013850416,0.34833795013850416
MultiRe_epoch-20,unseen,38.62	74.41	84.14	92.87	94.25	1305,39.46	76.7	87.2	97.32	98.85	1305,0.3946360153256705,0.3165602800346041,0.3295016196215639,0.3946360153256705,0.3946360153256705
