model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,27.01	50.42	61.36	72.44	77.35	1444,27.56	53.39	66.69	81.51	87.88	1444,0.2756232686980609,0.07240484751962675,0.06665653812567722,0.2756232686980609,0.2756232686980609
MultiRe_epoch-2,unseen,34.94	65.36	77.32	86.05	88.89	1305,35.86	68.43	82.61	93.03	96.63	1305,0.3586206896551724,0.29485569984939064,0.29738583958251613,0.3586206896551724,0.35862068965517235
MultiRe_epoch-4,seen,30.68	54.78	64.75	76.52	80.75	1444,31.09	57.76	70.01	84.28	89.75	1444,0.3109418282548476,0.12124555292637572,0.11017718340240464,0.3109418282548476,0.3109418282548476
MultiRe_epoch-4,unseen,36.32	70.5	82.38	91.26	93.64	1305,37.01	72.72	86.13	96.09	98.54	1305,0.3701149425287356,0.2795652695195213,0.2807760481733512,0.3701149425287356,0.3701149425287356
MultiRe_epoch-6,seen,30.82	54.16	64.4	75.35	80.47	1444,31.86	56.79	68.63	81.99	88.5	1444,0.3185595567867036,0.14093134346527642,0.1351331625057962,0.3185595567867036,0.3185595567867036
MultiRe_epoch-6,unseen,39.54	68.58	80.15	89.89	92.57	1305,40.54	72.26	84.75	95.17	98.31	1305,0.4053639846743295,0.36108133700782197,0.3578539145744083,0.4053639846743295,0.4053639846743295
MultiRe_epoch-8,seen,27.15	47.51	55.89	65.72	69.53	1444,28.74	51.66	63.71	78.74	84.83	1444,0.2873961218836565,0.0918114903247444,0.08038506779065704,0.2873961218836565,0.2873961218836565
MultiRe_epoch-8,unseen,36.02	67.89	79.54	87.74	89.81	1305,37.09	72.95	86.05	95.71	98.08	1305,0.3708812260536398,0.2889767404700252,0.29671190834392774,0.3708812260536398,0.3708812260536399
MultiRe_epoch-10,seen,33.8	55.06	64.89	74.31	77.98	1444,34.49	58.31	70.5	83.93	89.61	1444,0.3448753462603878,0.12387700664721808,0.11710294747363936,0.3448753462603878,0.3448753462603878
MultiRe_epoch-10,unseen,36.4	64.14	76.09	85.29	87.74	1305,37.47	70.19	84.21	95.25	98.24	1305,0.37471264367816093,0.2965813520903113,0.30105401202437737,0.37471264367816093,0.37471264367816093
MultiRe_epoch-12,seen,32.13	52.84	61.15	70.29	73.96	1444,33.73	56.86	67.52	81.02	86.36	1444,0.33725761772853186,0.12067217550510362,0.1108549163073792,0.33725761772853186,0.33725761772853186
MultiRe_epoch-12,unseen,32.49	63.22	74.71	82.53	85.9	1305,32.8	67.43	81.15	91.34	95.63	1305,0.32796934865900385,0.2409896858201871,0.2398560589926957,0.32796934865900385,0.32796934865900385
MultiRe_epoch-14,seen,34.7	57.13	66.0	77.15	80.61	1444,35.66	60.25	70.36	83.59	88.3	1444,0.35664819944598336,0.14701219564662446,0.13695515110012985,0.35664819944598336,0.3566481994459834
MultiRe_epoch-14,unseen,34.79	68.43	79.54	90.19	93.03	1305,35.71	70.5	82.68	94.56	97.93	1305,0.357088122605364,0.3285728018138538,0.3326833584223317,0.357088122605364,0.35708812260536404
MultiRe_epoch-16,seen,34.9	57.27	66.76	77.98	81.44	1444,35.66	59.9	71.05	84.63	90.1	1444,0.35664819944598336,0.1521240653438524,0.14116648912086377,0.35664819944598336,0.3566481994459834
MultiRe_epoch-16,unseen,36.55	69.96	81.0	91.26	93.56	1305,37.62	72.8	84.75	95.71	98.77	1305,0.37624521072796935,0.34844944813435136,0.3622412419477025,0.37624521072796935,0.3762452107279694
MultiRe_epoch-18,seen,35.32	59.21	68.98	78.67	82.96	1444,35.73	61.84	72.78	84.42	90.58	1444,0.3573407202216066,0.1696900163231166,0.16710344119979542,0.3573407202216066,0.3573407202216067
MultiRe_epoch-18,unseen,37.01	69.58	81.69	91.72	94.02	1305,37.78	71.95	84.75	95.86	98.47	1305,0.37777777777777777,0.32631888178196417,0.3374276634531473,0.37777777777777777,0.37777777777777777
MultiRe_epoch-20,seen,35.25	59.35	68.77	79.57	83.45	1444,35.53	61.7	72.09	84.83	90.65	1444,0.35526315789473684,0.13818898910242255,0.13249144145248082,0.35526315789473684,0.35526315789473684
MultiRe_epoch-20,unseen,37.24	70.11	81.53	91.26	94.02	1305,37.85	72.57	84.83	95.4	98.7	1305,0.378544061302682,0.3146879785068451,0.3296854752274815,0.378544061302682,0.37854406130268203
