model_path,test_type,path_res,entity_res,precision,recall_macro,f1_macro,recall_micro,f1_micro
MultiRe_epoch-2,seen,13.85	30.82	36.5	43.98	48.13	1444,14.54	33.24	40.79	52.35	60.04	1444,0.14542936288088643,0.039944587029902646,0.036964787932478815,0.14542936288088643,0.14542936288088643
MultiRe_epoch-2,unseen,12.8	28.97	37.01	44.37	48.05	1305,13.18	34.25	44.52	54.33	60.84	1305,0.1318007662835249,0.07530229420319753,0.07360269059221218,0.1318007662835249,0.1318007662835249
MultiRe_epoch-4,seen,18.77	34.35	41.48	50.14	52.91	1444,19.04	36.29	45.01	55.82	61.43	1444,0.1904432132963989,0.04232173908320984,0.04057376603625753,0.1904432132963989,0.1904432132963989
MultiRe_epoch-4,unseen,20.15	41.23	48.74	54.41	56.32	1305,21.38	43.37	51.65	58.47	61.3	1305,0.21379310344827587,0.13641980145296848,0.13864967164645617,0.21379310344827587,0.21379310344827587
MultiRe_epoch-6,seen,18.84	34.42	40.65	48.75	51.66	1444,19.46	36.98	44.6	55.26	60.53	1444,0.1945983379501385,0.040881871486995326,0.03999692550732956,0.1945983379501385,0.19459833795013853
MultiRe_epoch-6,unseen,19.0	40.69	47.59	54.1	55.71	1305,19.92	42.99	50.88	58.7	61.99	1305,0.19923371647509577,0.13839599898768265,0.1422955853852224,0.19923371647509577,0.19923371647509577
MultiRe_epoch-8,seen,19.46	35.11	41.41	48.96	51.66	1444,20.08	37.67	45.57	55.68	60.8	1444,0.20083102493074792,0.0424472809113544,0.04004277969885355,0.20083102493074792,0.20083102493074792
MultiRe_epoch-8,unseen,18.85	41.61	47.97	54.33	55.71	1305,19.85	44.06	51.57	59.39	62.07	1305,0.19846743295019156,0.1352291730118037,0.13811474686072986,0.19846743295019156,0.19846743295019156
MultiRe_epoch-10,seen,18.91	35.73	41.83	50.35	52.63	1444,19.46	38.23	46.05	56.51	61.36	1444,0.1945983379501385,0.03904898812367278,0.0354198961355105,0.1945983379501385,0.19459833795013853
MultiRe_epoch-10,unseen,19.31	41.61	48.05	54.56	55.94	1305,20.23	43.83	51.11	59.0	61.69	1305,0.20229885057471264,0.134554648329825,0.13950063384652875,0.20229885057471264,0.20229885057471264
MultiRe_epoch-12,seen,19.32	35.32	41.41	49.24	52.01	1444,19.74	37.88	45.43	56.02	61.29	1444,0.19736842105263158,0.03772349200767779,0.036007391521397696,0.19736842105263158,0.19736842105263158
MultiRe_epoch-12,unseen,18.62	41.46	48.05	54.18	55.71	1305,19.23	43.75	50.96	58.93	61.69	1305,0.19233716475095786,0.1314367675948005,0.13711675919645655,0.19233716475095786,0.19233716475095786
MultiRe_epoch-14,seen,18.84	35.25	41.27	48.96	51.52	1444,19.32	38.09	45.36	55.96	61.01	1444,0.19321329639889195,0.03684672897548201,0.035185222509607976,0.19321329639889195,0.19321329639889195
MultiRe_epoch-14,unseen,18.16	41.3	48.2	54.1	55.56	1305,19.0	43.75	51.26	58.93	61.53	1305,0.1900383141762452,0.1271046434648131,0.13229728315002062,0.1900383141762452,0.1900383141762452
MultiRe_epoch-16,seen,19.18	35.39	41.14	49.03	51.73	1444,19.53	38.02	45.15	56.02	61.15	1444,0.19529085872576177,0.03834831012070085,0.03625485690027134,0.19529085872576177,0.19529085872576177
MultiRe_epoch-16,unseen,17.55	41.38	47.74	54.1	55.56	1305,18.31	43.98	50.88	58.93	61.46	1305,0.18314176245210728,0.1283675362413104,0.1345313167630058,0.18314176245210728,0.18314176245210728
MultiRe_epoch-18,seen,19.04	35.18	41.07	48.89	51.59	1444,19.46	37.88	45.08	55.75	61.08	1444,0.1945983379501385,0.038202111290291496,0.03620987351160694,0.1945983379501385,0.19459833795013853
MultiRe_epoch-18,unseen,17.93	41.61	47.89	54.18	55.63	1305,18.77	44.14	50.96	58.93	61.46	1305,0.18773946360153257,0.12455291356050507,0.12924090119480858,0.18773946360153257,0.18773946360153257
